Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2026-07-03 09:15:00+05:30,1312.0,1312.0,1306.0,1306.4000244140625,0,0.0,0.0
2026-07-03 09:20:00+05:30,1306.5,1308.5999755859375,1306.300048828125,1307.0,92610,0.0,0.0
2026-07-03 09:25:00+05:30,1307.0,1307.9000244140625,1306.5999755859375,1306.800048828125,59001,0.0,0.0
2026-07-03 09:30:00+05:30,1307.300048828125,1309.9000244140625,1306.800048828125,1309.199951171875,107163,0.0,0.0
2026-07-03 09:35:00+05:30,1309.0999755859375,1309.0999755859375,1307.9000244140625,1308.4000244140625,33666,0.0,0.0
2026-07-03 09:40:00+05:30,1308.300048828125,1308.5999755859375,1306.800048828125,1306.800048828125,77109,0.0,0.0
2026-07-03 09:45:00+05:30,1306.800048828125,1308.0999755859375,1306.5999755859375,1307.0,52871,0.0,0.0
2026-07-03 09:50:00+05:30,1307.0999755859375,1307.5999755859375,1306.0999755859375,1306.199951171875,55889,0.0,0.0
2026-07-03 09:55:00+05:30,1306.0,1307.0,1305.199951171875,1307.0,81434,0.0,0.0
2026-07-03 10:00:00+05:30,1306.800048828125,1307.199951171875,1304.199951171875,1304.4000244140625,119648,0.0,0.0
2026-07-03 10:05:00+05:30,1304.4000244140625,1306.5999755859375,1304.0999755859375,1306.199951171875,144724,0.0,0.0
2026-07-03 10:10:00+05:30,1306.199951171875,1306.300048828125,1305.0,1305.0999755859375,48223,0.0,0.0
2026-07-03 10:15:00+05:30,1305.0999755859375,1305.5,1304.5,1304.800048828125,43555,0.0,0.0
2026-07-03 10:20:00+05:30,1304.5,1304.699951171875,1303.699951171875,1304.0,87199,0.0,0.0
2026-07-03 10:25:00+05:30,1304.0,1304.800048828125,1303.5,1304.5999755859375,98888,0.0,0.0
2026-07-03 10:30:00+05:30,1304.300048828125,1305.5,1304.300048828125,1305.199951171875,66273,0.0,0.0
2026-07-03 10:35:00+05:30,1305.199951171875,1305.5,1304.199951171875,1304.199951171875,59352,0.0,0.0
2026-07-03 10:40:00+05:30,1304.0999755859375,1304.5,1303.300048828125,1303.5,52747,0.0,0.0
2026-07-03 10:45:00+05:30,1303.4000244140625,1305.199951171875,1303.0999755859375,1303.800048828125,169001,0.0,0.0
2026-07-03 10:50:00+05:30,1304.0,1304.0,1303.5,1303.5,41865,0.0,0.0
